zip,type,primary city,acceptable cities,unacceptable cities,state,county,timezone,area codes,latitude,longitude,region,country,decomissioned,estimated population,notes
T0A,CANADA,Eastern Alberta,St. Paul,,AB,,,,54.766,-111.7174,NA,CA,0,0,
T0B,CANADA,Wainwright Region,Tofield,,AB,,,,53.0727,-111.5816,NA,CA,0,0,
T0C,CANADA,Central Alberta,Stettler,,AB,,,,52.4922,-112.8113,NA,CA,0,0,
T0E,CANADA,Western Alberta,Jasper,,AB,,,,53.4021,-117.2308,NA,CA,0,0,
T0G,CANADA,North Central Alberta,Slave Lake,,AB,,,,55.6993,-114.4529,NA,CA,0,0,
T0H,CANADA,Northwestern Alberta,High Level,,AB,,,,57.5403,-116.9153,NA,CA,0,0,
T0J,CANADA,Southeastern Alberta,Drumheller,,AB,,,,50.9944,-111.4632,NA,CA,0,0,
T0K,CANADA,International Border Region,Cardston,,AB,,,,49.4721,-112.2408,NA,CA,0,0,
T0L,CANADA,Kananaskis Country,Claresholm,,AB,,,,50.6314,-114.4089,NA,CA,0,0,
T0M,CANADA,Central Foothills,Sundre,,AB,,,,51.9552,-114.8691,NA,CA,0,0,
T0P,CANADA,Northeastern Alberta,Fort Chipewyan,,AB,,,,58.1176,-111.5094,NA,CA,0,0,
T0V,CANADA,Remote Northeast,Fitzgerald,,AB,,,,59.9049,-111.6717,NA,CA,0,0,
T1A,CANADA,Medicine Hat Central,,,AB,,,,50.0816,-110.5788,NA,CA,0,0,
T1B,CANADA,Medicine Hat South,,,AB,,,,49.835,-110.5203,NA,CA,0,0,
T1C,CANADA,Medicine Hat North,,,AB,,,,50.0774,-110.6911,NA,CA,0,0,
T1G,CANADA,Taber,,,AB,,,,49.787,-112.146,NA,CA,0,0,
T1H,CANADA,Lethbridge North,,,AB,,,,49.7,-112.8186,NA,CA,0,0,
T1J,CANADA,Lethbridge West and Central,,,AB,,,,49.6581,-112.7484,NA,CA,0,0,
T1K,CANADA,Lethbridge Southeast,,,AB,,,,49.6511,-112.8351,NA,CA,0,0,
T1L,CANADA,Banff,,,AB,,,,51.1762,-115.5698,NA,CA,0,0,
T1M,CANADA,Coaldale,,,AB,,,,49.7167,-112.6185,NA,CA,0,0,
T1P,CANADA,Strathmore,,,AB,,,,51.0501,-113.3852,NA,CA,0,0,
T1R,CANADA,Brooks,,,AB,,,,50.5834,-111.8851,NA,CA,0,0,
T1S,CANADA,Okotoks,,,AB,,,,50.7362,-113.9695,NA,CA,0,0,
